,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,unique_suit
0,1,1,1,10,1,11,1,12,1,13,1
1,2,1,2,10,2,11,2,12,2,13,1
2,3,1,3,10,3,11,3,12,3,13,1
3,4,1,4,10,4,11,4,12,4,13,1
4,4,1,4,10,4,11,4,12,4,13,1
5,1,2,1,3,1,4,1,5,1,6,1
6,1,9,1,10,1,11,1,12,1,13,1
7,2,1,2,2,2,3,2,4,2,5,1
8,3,5,3,6,3,7,3,8,3,9,1
9,4,1,4,2,4,3,4,4,4,5,1
10,1,1,1,1,2,3,2,5,3,9,3
11,2,1,2,4,2,6,4,9,4,13,2
12,1,1,1,2,1,6,3,8,4,10,3
13,1,1,2,4,2,5,2,11,4,13,3
14,3,2,3,2,3,8,4,9,4,12,2
15,1,3,1,4,2,5,4,7,4,13,3
16,1,1,1,2,1,3,3,4,3,5,2
17,1,2,2,6,2,7,3,8,3,12,3
18,1,2,3,6,4,8,4,11,4,12,3
19,1,1,2,7,3,7,3,11,4,12,4
20,1,7,2,8,2,10,3,13,4,13,4
21,1,4,1,6,2,7,2,8,3,11,3
22,1,2,2,5,3,8,3,10,4,10,4
23,1,1,2,1,3,6,4,9,4,13,4
24,1,2,2,8,2,8,2,10,3,13,3
25,1,3,2,5,3,5,4,8,4,13,4
26,1,1,1,1,2,5,3,7,3,13,3
27,1,5,1,6,1,6,2,7,4,8,3
28,2,4,2,5,3,7,3,9,4,12,3
29,1,1,1,6,2,8,2,10,4,12,3
30,2,7,2,11,3,11,3,11,4,13,3
31,2,2,2,7,3,10,3,11,4,13,3
32,1,1,1,2,1,6,2,7,4,11,3
33,1,3,2,4,3,5,3,9,4,12,4
34,1,2,2,3,2,6,3,10,4,11,4
35,1,1,4,3,4,8,4,12,4,13,2
36,1,2,2,2,2,3,4,6,4,8,3
37,1,3,1,3,2,6,3,8,4,13,4
38,2,3,2,7,4,9,4,10,4,11,2
39,1,2,2,2,2,10,2,12,3,13,3
40,1,2,2,3,2,3,2,5,3,12,3
41,1,2,2,5,2,8,3,8,4,12,4
42,1,1,2,5,4,5,4,6,4,7,3
43,1,1,2,3,2,6,3,7,3,13,3
44,1,5,2,8,3,10,4,10,4,13,4
